trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.5, 'e': 0.9935090342861344}",20,3,-46.08282437957033,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.9932795409475959}",20,0,-37.82026509457544,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.993046074492218}",25,0,-102.68651749265226,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.9928086358538663}",35,0,-70.70971345344098,"{0: 27, 1: 3, 2: 3, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.9925672259822949}",20,0,-59.51412155008556,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9923218458431429}",25,0,-197.7169514582655,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9920724964179307}",25,0,-151.39858516206954,"{0: 14, 1: 3, 2: 3, 3: 4, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9918191787040556}",25,0,-107.27883639224095,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9915618937147881}",20,0,-142.95195618331164,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
66,False,"{'a': 0.5, 'e': 0.9913006424792677}",20,0,-196.3628157888124,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
67,False,"{'a': 0.5, 'e': 0.9910354260424993}",25,0,-237.68536723497306,"{0: 10, 1: 1, 2: 8, 3: 4, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.990766245465348}",25,0,-158.685502440239,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.9904931018245359}",20,0,-41.62839173722818,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.9902159962126371}",20,0,-185.05729651478384,"{0: 8, 1: 1, 2: 7, 3: 2, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.9899349297380738}",30,0,-142.43092579812597,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9896499035251115}",20,0,-158.40857243968972,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
73,False,"{'a': 0.5, 'e': 0.9893609187138546}",20,0,-185.36054033895724,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 4}",0
